ll,name,distance
"43.674991,-79.396273",Cornerstone Academic College,769.0
"43.674991,-79.396273",Global Village Language School,777.0
"43.674991,-79.396273",OISE University of Toronto,801.0
"43.674991,-79.396273",De la Salle Centre,815.0
"43.674991,-79.396273",Margaret Addison Hall,824.0
"43.674991,-79.396273",Enrollment Svc,840.0
"43.674991,-79.396273",OISE Alumni & Friends,854.0
"43.674991,-79.396273",University of Toronto,855.0
"43.674991,-79.396273",Varsity Arena,893.0
"43.674991,-79.396273",De la Salle College Cafeteria,898.0
"43.674991,-79.396273",The Howl Offices,908.0
"43.674991,-79.396273",Woodsworth College Students' Association {WCSA},941.0
"43.674991,-79.396273",Hotdocs industry centre,945.0
"43.674991,-79.396273",Rowell Jackman Hall,946.0
"43.674991,-79.396273",Burwash Hall,954.0
"43.674991,-79.396273",Emmanuel College Victoria U,959.0
"43.674991,-79.396273",Victoria College,967.0
"43.674991,-79.396273",Alliance Francaise,976.0
"43.674991,-79.396273",Loretto College,1028.0
"43.674991,-79.396273",Corporate Class Inc,2430.0
"43.674991,-79.396273",Mindfulness Without Borders,2660.0
"43.674991,-79.396273",Key2careers College,588.0
"43.674991,-79.396273",ADLER Graduate Professional School,673.0
"43.674991,-79.396273",Tape Educational Svc,710.0
"43.674991,-79.396273",PeppeR Project,714.0
"43.674991,-79.396273",Ut Language and Learning Lab,756.0
"43.674991,-79.396273",Cruiselab,763.0
"43.674991,-79.396273",Department of Classics - University of Toronto,765.0
"43.674991,-79.396273",Admit Master,768.0
"43.674991,-79.396273",Plac Rcm,794.0
"43.674991,-79.396273",University of Toronto - Prospective Students,824.0
"43.674991,-79.396273",Department of Philosophy University of Toronto,864.0
"43.674991,-79.396273",Vcaa,868.0
"43.674991,-79.396273",University of Toronto - Frequently Called Numbers - Spanish & Portuguese,922.0
"43.674991,-79.396273",ESL in Canada,944.0
"43.671944,-79.387778",Isabel Bader Theatre,642.0
"43.671944,-79.387778",ILAC Cumberland,161.0
"43.671944,-79.387778",Trillium College,175.0
"43.671944,-79.387778",Canadian Business College,181.0
"43.671944,-79.387778",International Language Academy of Canada,257.0
"43.671944,-79.387778",George brown yorkville school of makeup and esthetics,267.0
"43.671944,-79.387778",Berlitz Toronto,289.0
"43.671944,-79.387778",CDI College,306.0
"43.671944,-79.387778",Cornerstone Academic College,311.0
"43.671944,-79.387778",Ontario College of Teachers,386.0
"43.671944,-79.387778",ILAC Yorkville Campus,389.0
"43.671944,-79.387778",Complections International Academy of Make-up Artistry,396.0
"43.671944,-79.387778",George Brown College Daycare,423.0
"43.671944,-79.387778",Toronto Hostels Training Centre,424.0
"43.671944,-79.387778",Canadian Centre For Verbatim Studies,461.0
"43.671944,-79.387778",Loretto College,545.0
"43.671944,-79.387778",Rowell Jackman Hall,556.0
"43.671944,-79.387778",Centre for Medieval Studies,557.0
"43.671944,-79.387778",Royal Canadian Institute of Intternational Studies,559.0
"43.671944,-79.387778",Margaret Addison Hall,578.0
"43.671944,-79.387778",Burwash Hall,605.0
"43.671944,-79.387778",Elmsley Hall,614.0
"43.671944,-79.387778",Brennan Hall and Sorbara Auditorium,614.0
"43.671944,-79.387778",St. Michael's College,618.0
"43.671944,-79.387778",Ned's Cafe,626.0
"43.671944,-79.387778",Victoria College,633.0
"43.671944,-79.387778",Tackaberry Library,643.0
"43.671944,-79.387778",Evoke Learning,648.0
"43.671944,-79.387778",Avenu Education Group,650.0
"43.671944,-79.387778",Brain Sensei Inc,655.0
"43.671944,-79.387778",Branksome Hall Library,657.0
"43.671944,-79.387778",Hotdocs industry centre,661.0
"43.671944,-79.387778",Centre for Reformation and Renaissance Studies,672.0
"43.671944,-79.387778","Anderson College of Health, Business and Technology",693.0
"43.671944,-79.387778",Global Village Language School,720.0
"43.671944,-79.387778",Emmanuel College Victoria U,722.0
"43.671944,-79.387778",Northrop Frye Hall,731.0
"43.671944,-79.387778","Faculty of Theology, University of St Michael's College",735.0
"43.671944,-79.387778",Pontifical Institute of Mediaeval Studies,777.0
"43.671944,-79.387778",Carr Hall,785.0
"43.671944,-79.387778",Teefy Hall,786.0
"43.671944,-79.387778",Flavelle House,810.0
"43.671944,-79.387778",Phi Kappa Pi Fraternity,850.0
"43.671944,-79.387778",Jesuits in English Canada,856.0
"43.671944,-79.387778",Mcluhan Probram in Culture,869.0
"43.671944,-79.387778",Factor-Inwentash Faculty of Social Work,904.0
"43.671944,-79.387778",Ontario Institute for Studies in Education,922.0
"43.671944,-79.387778",Varsity Arena,929.0
"43.671944,-79.387778",Centre de recherches en éducation franco-ontar ienne - CREFO,951.0
"43.671944,-79.387778",OISE Alumni & Friends,957.0
"43.662365,-79.351104",My Artlab,499.0
"43.662365,-79.351104",kappa Kappa Kappa,630.0
"43.662365,-79.351104",E-roleplay,725.0
"43.662365,-79.351104",Casa del Pali Creative Institute for Outstanding Individuals,821.0
"43.662365,-79.351104",Centennial College,901.0
"43.662365,-79.351104",The Audio Recording Academy,920.0
"43.646144,-79.377962",Evergreen College,298.0
"43.646144,-79.377962",Manhattan GMAT,405.0
"43.646144,-79.377962",Institute of Corporate Directors,472.0
"43.646144,-79.377962",Ontario Research and Innovation Optical,559.0
"43.646144,-79.377962",Wilfrid Laurier University - MBA School,570.0
"43.646144,-79.377962",Smarten Up Institute,614.0
"43.646144,-79.377962",Csi Exam Centre,638.0
"43.646144,-79.377962",Toronto Chinese Academy,710.0
"43.646144,-79.377962",Canadian Securities Institute,718.0
"43.646144,-79.377962",George Brown College School of Design Waterfront Campus,751.0
"43.646144,-79.377962",CSI Global Education Inc,762.0
"43.646144,-79.377962",CMU College of Makeup Art & Design,803.0
"43.646144,-79.377962",George Brown College,813.0
"43.646144,-79.377962",George Brown College Gym,825.0
"43.646144,-79.377962",George Brown College - Transitions to Post-Secondary Education,843.0
"43.646144,-79.377962",Good Food Market at GBC - St. James Campus,854.0
"43.646144,-79.377962",George Brown College LIAD 224A,865.0
"43.646144,-79.377962",George Brown Building D,872.0
"43.646144,-79.377962",George Brown College - Centre for Preparatory & Liberal Studies,877.0
"43.646144,-79.377962",Mastercard Foundation,911.0
"43.646144,-79.377962",George Brown College Centre for Hospitality and Culinary Arts,913.0
"43.646144,-79.377962",Rider Training Institute,937.0
"43.646144,-79.377962",OCAD Graduate Studies,945.0
"43.646144,-79.377962",College of Sports Media,948.0
"43.646144,-79.377962",George Brown College St. James Campus,949.0
"43.646144,-79.377962",Social Body Lab,958.0
"43.646144,-79.377962",DFI headquarters - OCAD,961.0
"43.646144,-79.377962",OCAD at 230 Richmond,966.0
"43.646144,-79.377962",Herzing College,970.0
"43.646144,-79.377962",Act 1036,973.0
"43.646144,-79.377962",George Brown College St. James,988.0
"43.646144,-79.377962",George Brown College Continuing Education,1113.0
"43.646144,-79.377962",Stepthen Overbury Seminars Inc,294.0
"43.646144,-79.377962",York Univeristy Schulich School of Business,3697.0
"43.646144,-79.377962",Orano,399.0
"43.646144,-79.377962",Canadian Securities Institute,438.0
"43.646144,-79.377962",The David Asper Centre for Constitutional Righ ts,451.0
"43.646144,-79.377962",Uniglobe Consulting Inc,455.0
"43.646144,-79.377962",Custom Comfort Care Inc,489.0
"43.646144,-79.377962",Collages Ontario,495.0
"43.646144,-79.377962",York College,495.0
"43.646144,-79.377962",University of Toronto - Scarborough,502.0
"43.646144,-79.377962",NIC Newton International College,506.0
"43.646144,-79.377962",Canadian Centre For Verbatim Studies,514.0
"43.646144,-79.377962",Canadore College,550.0
"43.646144,-79.377962",Directcash Atm Processing,728.0
"43.646144,-79.377962",University of Toronto,759.0
"43.646144,-79.377962",Institute Without Boundaries,766.0
"43.646144,-79.377962",Iseehear Inc,852.0
"43.646144,-79.377962",Canadian College of Osteopathy,945.0
"43.663993,-79.358534",Pathways to Education,710.0
"43.663993,-79.358534",Taie International Institute,777.0
"43.663993,-79.358534",kappa Kappa Kappa,950.0
"43.663993,-79.358534",Centre For Education & Training,958.0
"43.663993,-79.358534",The Living Institute,4207.0
"43.663993,-79.358534",Centennial College,503.0
"43.663993,-79.358534",E-roleplay,738.0
"43.663993,-79.358534",The Audio Recording Academy,856.0
"43.663993,-79.358534",Bolokelen Malinke Percussion,891.0
"43.663993,-79.358534",Casa del Pali Creative Institute for Outstanding Individuals,916.0
"43.657266,-79.374756",Canada's National Ballet School,740.0
"43.657266,-79.374756",Ryerson Recreation and Athletics Centre,387.0
"43.657266,-79.374756",Chestnut Residence,914.0
"43.657266,-79.374756",Rye High Eng,249.0
"43.657266,-79.374756",Infoscape Research Lab,265.0
"43.657266,-79.374756",Ryerson Hub Cafeteria,268.0
"43.657266,-79.374756",Campus Facilities & Sustainability,301.0
"43.657266,-79.374756",Rogers Communucation Centre,303.0
"43.657266,-79.374756",HEI 201 GCM Lecture Hall,314.0
"43.657266,-79.374756",Creative Innovation Studio,316.0
"43.657266,-79.374756",Ryerson University School of Image Arts,340.0
"43.657266,-79.374756",Modern Literature and Culture Research Centre,342.0
"43.657266,-79.374756",Ryerson University Co-Operative Education,365.0
"43.657266,-79.374756",Eric Palin Hall,365.0
"43.657266,-79.374756",Kerr Hall West Room 057,389.0
"43.657266,-79.374756",Kerr Hall North,400.0
"43.657266,-79.374756",Toronto Metropolitan University Park,401.0
"43.657266,-79.374756",Victoria Building,405.0
"43.657266,-79.374756",Chang School for Continuing Education,406.0
"43.657266,-79.374756",Ryerson University Quad,409.0
"43.657266,-79.374756",Ryerson School of Fashion,421.0
"43.657266,-79.374756",Ryerson University Campus Store,425.0
"43.657266,-79.374756",Neill-Wycik College-Hotel,431.0
"43.657266,-79.374756",Library Building,452.0
"43.657266,-79.374756",Ryerson Aboriginal Student Svc,456.0
"43.657266,-79.374756",Ryerson University Library 7th Floor,463.0
"43.657266,-79.374756",Ryerson University,466.0
"43.657266,-79.374756",POD Building,467.0
"43.657266,-79.374756",Ryerson University Library 4th Floor,470.0
"43.657266,-79.374756",Kerr Hall West Gym,470.0
"43.657266,-79.374756",Toronto Metropolitan University Student Financial Services,476.0
"43.657266,-79.374756",Ryerson Student Affairs,485.0
"43.657266,-79.374756",Arts lab - POD 356,496.0
"43.657266,-79.374756",George Brown College St. James,512.0
"43.657266,-79.374756",Ryerson University Student Learning Centre,515.0
"43.657266,-79.374756",Ryerson University,524.0
"43.657266,-79.374756",CMU College of Makeup Art & Design,541.0
"43.657266,-79.374756",Ryerson University Human Resources,573.0
"43.657266,-79.374756",Intl Institute Travel,602.0
"43.657266,-79.374756",Ryerson University,613.0
"43.657266,-79.374756",George Brown College St. James Campus,615.0
"43.657266,-79.374756",Ryerson School of Performance,622.0
"43.657266,-79.374756",George Brown College Continuing Education,642.0
"43.657266,-79.374756",Ted Rogers School of Management,666.0
"43.657266,-79.374756",TRSM Career Development & Employment Partnership Centre,669.0
"43.657266,-79.374756",Information Technology Management Student Association,672.0
"43.657266,-79.374756",George Brown College Centre for Hospitality and Culinary Arts,690.0
"43.657266,-79.374756",George Brown College Gym,698.0
"43.657266,-79.374756",George Brown College LIAD 224A,709.0
"43.657266,-79.374756",The Maples Complex,747.0
"43.6672144,-79.3452697",kappa Kappa Kappa,200.0
"43.6672144,-79.3452697",Carmichael & Co,961.0
"43.673939,-79.441159",Hudson College,699.0
"43.673939,-79.441159",StrongMinds Education,907.0
"43.657991,-79.340075",My Artlab,711.0
"43.66745,-79.329408",Leslieville Jr PS,214.0
"43.672453,-79.338259",Leslieville Jr PS,816.0
"43.672453,-79.338259",kappa Kappa Kappa,940.0
"43.672453,-79.338259",Ontario College of Acupuncture,878.0
"43.672453,-79.338259",Academy of Learning Career and Business College,958.0
"43.672453,-79.338259",Academy of Learning College,962.0
"43.6592088,-79.3348396",Leslieville Jr PS,868.0
"43.689211,-79.35438",Centennial College - Story Arts Centre,639.0
"43.689211,-79.35438",William Burgess Public School,591.0
"43.689211,-79.35438",Centennial College Student Association,660.0
"43.689211,-79.35438","Centennial College, Centre for Creative Communications  Library",669.0
"43.689211,-79.35438",CCSAI Lounge,699.0
"43.689211,-79.35438",Collège Boréal,655.0
"43.689211,-79.35438",Centennial College,665.0
"43.656927,-79.378497",Canada's National Ballet School,757.0
"43.656927,-79.378497",Ryerson Recreation and Athletics Centre,179.0
